"Date","Price","Open","High","Low","Change %"
"02/01/2019","2.732","2.702","2.760","2.591","1.19%"
"01/01/2019","2.700","2.819","2.819","2.588","-6.80%"
"12/01/2018","2.897","2.860","2.983","2.750","2.11%"
"11/01/2018","2.837","3.072","3.150","2.835","-7.74%"
"10/01/2018","3.075","3.230","3.241","3.067","-5.82%"
"09/01/2018","3.265","3.165","3.342","3.149","3.68%"
"08/01/2018","3.149","3.059","3.258","2.830","2.77%"
"07/01/2018","3.064","3.350","3.350","3.064","-7.99%"
"06/01/2018","3.330","3.210","3.404","3.201","4.06%"
"05/01/2018","3.200","3.150","3.210","3.060","2.24%"
"04/01/2018","3.130","3.473","3.550","3.062","-11.05%"
"03/01/2018","3.519","3.326","3.600","3.312","5.04%"
"02/01/2018","3.350","3.570","3.647","3.350","-7.54%"
"01/01/2018","3.623","3.850","3.850","3.590","-5.26%"
"12/01/2017","3.824","3.730","3.900","3.711","2.00%"
"11/01/2017","3.749","3.652","3.760","3.652","2.66%"
"10/01/2017","3.652","3.600","3.652","3.563","3.02%"
"09/01/2017","3.545","3.576","3.620","3.517","-0.06%"
"08/01/2017","3.547","3.493","3.585","3.415","2.13%"
"07/01/2017","3.473","3.462","3.527","3.342","-0.52%"
"06/01/2017","3.491","3.618","3.677","3.414","-3.56%"
"05/01/2017","3.620","3.265","3.718","3.243","11.35%"
"04/01/2017","3.251","2.991","3.255","2.965","9.42%"
"03/01/2017","2.971","2.875","3.021","2.841","3.45%"
"02/01/2017","2.872","2.880","2.986","2.823","1.88%"
"01/01/2017","2.819","2.750","2.894","2.750","0.75%"
"12/01/2016","2.798","2.523","3.150","2.523","11.70%"
"11/01/2016","2.505","2.364","2.524","2.209","6.28%"
"10/01/2016","2.357","2.360","2.390","2.294","-0.25%"
"09/01/2016","2.363","2.403","2.450","2.288","-0.71%"
"08/01/2016","2.380","2.440","2.470","2.310","-2.74%"
"07/01/2016","2.447","2.525","2.550","2.428","-3.59%"
"06/01/2016","2.538","2.570","2.595","2.530","-1.82%"
"05/01/2016","2.585","2.650","2.650","2.505","-0.23%"
"04/01/2016","2.591","2.380","2.630","2.341","9.93%"
"03/01/2016","2.357","2.523","2.523","2.303","-5.64%"
"02/01/2016","2.498","2.645","2.645","2.490","-3.33%"
"01/01/2016","2.584","2.450","2.612","2.450","4.49%"
"12/01/2015","2.473","2.763","2.763","2.460","-10.20%"
"11/01/2015","2.754","2.670","2.800","2.613","4.71%"
"10/01/2015","2.630","2.750","2.750","2.613","-4.40%"
"09/01/2015","2.751","2.630","2.780","2.553","7.46%"
"08/01/2015","2.560","2.590","2.670","2.530","-2.66%"
"07/01/2015","2.630","2.495","2.711","2.425","6.18%"
"06/01/2015","2.477","2.280","2.490","1.983","11.28%"
"05/01/2015","2.226","2.970","2.970","2.183","-25.25%"
"04/01/2015","2.978","3.268","3.300","2.978","-8.54%"
"03/01/2015","3.256","3.200","3.270","3.142","3.66%"
"02/01/2015","3.141","3.220","3.240","3.117","-2.45%"
"01/01/2015","3.220","3.400","3.402","3.191","-4.42%"
"12/01/2014","3.369","3.170","3.528","3.150","6.41%"
"11/01/2014","3.166","3.400","3.438","3.152","-8.71%"
"10/01/2014","3.468","3.870","3.880","3.462","-9.92%"
"09/01/2014","3.850","3.960","3.980","3.840","-2.36%"
"08/01/2014","3.943","3.933","4.000","3.877","0.46%"
"07/01/2014","3.925","3.620","4.020","3.600","7.53%"
"06/01/2014","3.650","3.760","3.800","3.550","-3.44%"
"05/01/2014","3.780","3.800","3.840","3.660","-0.53%"
"04/01/2014","3.800","3.590","3.850","3.520","7.95%"
"03/01/2014","3.520","3.580","3.700","3.430","-1.40%"
"02/01/2014","3.570","3.800","4.380","3.470","-6.54%"
"01/01/2014","3.820","4.380","4.440","3.730","-12.98%"
"12/01/2013","4.390","4.300","4.500","4.120","2.33%"
"11/01/2013","4.290","3.990","4.560","3.840","9.72%"
"10/01/2013","3.910","3.800","4.100","3.630","2.89%"
"09/01/2013","3.800","3.800","3.920","3.600","1.06%"
"08/01/2013","3.760","3.520","3.765","3.300","13.94%"
"07/01/2013","3.300","3.360","3.600","3.100","-2.37%"
"06/01/2013","3.380","3.070","3.750","2.950","10.46%"
"05/01/2013","3.060","3.000","3.110","2.920","0.00%"
"04/01/2013","3.060","3.060","3.160","2.920","0.00%"
"03/01/2013","3.060","3.160","3.180","2.950","0.00%"
"02/01/2013","3.060","3.090","3.180","2.930","-0.65%"
"01/01/2013","3.080","3.110","3.200","2.900","-0.16%"
"12/01/2012","3.085","3.000","3.210","2.890","1.15%"
"11/01/2012","3.050","3.030","3.150","2.800","-0.97%"
"10/01/2012","3.080","2.950","3.150","2.800","4.76%"
"09/01/2012","2.940","2.890","3.190","2.650","2.44%"
"08/01/2012","2.870","2.350","2.920","2.270","20.08%"
"07/01/2012","2.390","2.360","2.530","2.211","-0.42%"
"06/01/2012","2.400","2.440","2.570","2.250","-5.88%"
"05/01/2012","2.550","2.910","3.010","2.395","-12.37%"
"04/01/2012","2.910","2.880","3.100","2.800","-1.02%"
"03/01/2012","2.940","3.020","3.100","2.800","-2.97%"
"02/01/2012","3.030","2.850","3.120","2.790","5.21%"
"01/01/2012","2.880","2.800","3.000","2.700","2.13%"
"12/01/2011","2.820","2.980","3.100","2.650","-6.00%"
"11/01/2011","3.000","3.420","3.550","2.700","-11.76%"
"10/01/2011","3.400","3.670","3.970","3.300","-8.11%"
"09/01/2011","3.700","3.890","4.000","3.400","-6.33%"
"08/01/2011","3.950","3.780","3.980","3.400","6.18%"
"07/01/2011","3.720","3.500","3.800","3.233","3.62%"
"06/01/2011","3.590","3.190","3.750","3.110","12.19%"
"05/01/2011","3.200","3.140","3.350","3.010","1.27%"
"04/01/2011","3.160","3.200","3.300","2.980","-0.63%"
"03/01/2011","3.180","3.270","3.370","3.020","-0.62%"
"02/01/2011","3.200","3.280","3.420","3.100","0.00%"
"01/01/2011","3.200","3.382","3.450","2.950","-5.88%"
"12/01/2010","3.400","3.010","3.450","2.330","24.09%"
"11/01/2010","2.740","2.370","3.050","2.170","25.69%"
"10/01/2010","2.180","2.180","2.550","2.050","2.35%"
"09/01/2010","2.130","2.195","2.270","2.050","-4.06%"
"08/01/2010","2.220","2.250","2.310","2.050","0.00%"
"07/01/2010","2.220","2.300","2.370","2.090","-3.48%"
"06/01/2010","2.300","2.120","2.400","1.950","7.48%"
"05/01/2010","2.140","2.150","2.250","1.920","1.90%"
"04/01/2010","2.100","1.940","2.300","1.844","6.60%"
"03/01/2010","1.970","2.060","2.150","1.829","-5.29%"
"02/01/2010","2.080","2.080","2.200","1.800","9.47%"
"01/01/2010","1.900","1.970","2.230","1.660","0.00%"
