"Date","Price","Open","High","Low","Change %"
"10/01/2021","0.623","0.040","0.643","0.040","1,284.44%"
"09/01/2021","0.045","0.027","0.048","-0.001","87.50%"
"08/01/2021","0.024","0.024","0.063","0.016","-11.11%"
"07/01/2021","0.027","0.075","0.081","0.017","-62.50%"
"06/01/2021","0.072","0.075","0.105","-0.005","4.35%"
"05/01/2021","0.069","0.086","0.103","0.064","-23.33%"
"04/01/2021","0.090","0.091","0.103","0.071","1.12%"
"03/01/2021","0.089","0.111","0.155","0.079","-29.92%"
"02/01/2021","0.127","0.120","0.183","0.102","11.40%"
"01/01/2021","0.114","0.073","0.134","0.072","54.05%"
"12/01/2020","0.074","0.095","0.137","0.074","-25.25%"
"11/01/2020","0.099","0.120","0.140","0.069","-17.50%"
"10/01/2020","0.120","0.186","0.222","0.101","-34.78%"
"09/01/2020","0.184","0.266","0.282","0.148","-31.85%"
"08/01/2020","0.270","0.271","0.301","0.244","-2.53%"
"07/01/2020","0.277","0.267","0.298","0.237","1.84%"
"06/01/2020","0.272","0.303","0.331","0.237","-3.20%"
"05/01/2020","0.281","0.244","0.325","0.186","18.07%"
"04/01/2020","0.238","0.253","0.290","0.169","-5.18%"
"03/01/2020","0.251","0.402","0.627","0.240","-55.89%"
"02/01/2020","0.569","0.634","0.813","0.559","-13.66%"
"01/01/2020","0.659","0.919","0.931","0.653","-29.29%"
"12/01/2019","0.932","0.709","0.952","0.692","36.66%"
"11/01/2019","0.682","0.837","0.941","0.658","-19.76%"
"10/01/2019","0.850","0.768","0.850","0.608","15.18%"
"09/01/2019","0.738","0.731","0.986","0.702","1.93%"
"08/01/2019","0.724","0.846","0.879","0.661","-15.72%"
"07/01/2019","0.859","0.989","1.034","0.822","-11.53%"
"06/01/2019","0.971","1.116","1.143","0.893","-13.46%"
"05/01/2019","1.122","1.348","1.368","1.095","-16.46%"
"04/01/2019","1.343","1.463","1.572","1.302","-8.33%"
"03/01/2019","1.465","1.750","1.811","1.426","-14.48%"
"02/01/2019","1.713","1.826","1.867","1.676","-7.61%"
"01/01/2019","1.854","1.921","1.981","1.746","-2.73%"
"12/01/2018","1.906","2.003","2.034","1.873","-4.89%"
"11/01/2018","2.004","1.985","2.123","1.977","1.26%"
"10/01/2018","1.979","2.042","2.085","1.961","-2.94%"
"09/01/2018","2.039","1.962","2.202","1.922","3.45%"
"08/01/2018","1.971","2.046","2.072","1.956","-2.95%"
"07/01/2018","2.031","2.018","2.095","1.935","1.04%"
"06/01/2018","2.010","2.033","2.125","1.978","1.26%"
"05/01/2018","1.985","2.063","2.083","1.914","-3.87%"
"04/01/2018","2.065","2.026","2.168","1.979","2.79%"
"03/01/2018","2.009","1.997","2.080","1.955","0.10%"
"02/01/2018","2.007","2.056","2.078","1.939","-2.67%"
"01/01/2018","2.062","2.000","2.143","1.912","3.77%"
"12/01/2017","1.987","1.784","2.033","1.713","13.15%"
"11/01/2017","1.756","1.845","1.858","1.728","-4.10%"
"10/01/2017","1.831","1.978","2.001","1.822","-6.91%"
"09/01/2017","1.967","1.876","2.061","1.833","3.64%"
"08/01/2017","1.898","1.813","1.926","1.762","4.86%"
"07/01/2017","1.810","1.767","1.968","1.680","3.49%"
"06/01/2017","1.749","1.568","1.774","1.543","12.55%"
"05/01/2017","1.554","1.661","1.780","1.551","-6.83%"
"04/01/2017","1.668","1.774","1.774","1.603","-6.19%"
"03/01/2017","1.778","1.820","1.938","1.716","-2.15%"
"02/01/2017","1.817","1.776","1.913","1.745","0.33%"
"01/01/2017","1.811","1.915","1.944","1.797","-5.33%"
"12/01/2016","1.913","1.885","2.025","1.783","3.07%"
"11/01/2016","1.856","1.657","1.908","1.581","11.47%"
"10/01/2016","1.665","1.557","1.782","1.542","6.53%"
"09/01/2016","1.563","1.464","1.678","1.438","7.79%"
"08/01/2016","1.450","1.521","1.548","1.381","-4.48%"
"07/01/2016","1.518","1.589","1.696","1.499","-5.60%"
"06/01/2016","1.608","1.684","1.800","1.527","-4.91%"
"05/01/2016","1.691","1.901","1.937","1.536","-9.48%"
"04/01/2016","1.868","1.902","2.103","1.832","-1.42%"
"03/01/2016","1.895","1.769","2.085","1.720","6.52%"
"02/01/2016","1.779","1.895","1.932","1.739","-7.44%"
"01/01/2016","1.922","2.035","2.046","1.872","-5.46%"
"12/01/2015","2.033","2.029","2.164","1.972","0.99%"
"11/01/2015","2.013","1.750","2.088","1.730","12.96%"
"10/01/2015","1.782","1.839","1.918","1.741","-2.52%"
"09/01/2015","1.828","1.815","1.992","1.758","2.01%"
"08/01/2015","1.792","1.879","2.012","1.734","-4.78%"
"07/01/2015","1.882","2.039","2.064","1.786","-6.79%"
"06/01/2015","2.019","1.899","2.143","1.865","6.88%"
"05/01/2015","1.889","1.925","2.153","1.883","-4.55%"
"04/01/2015","1.979","1.724","2.022","1.636","15.73%"
"03/01/2015","1.710","1.851","2.011","1.710","-5.94%"
"02/01/2015","1.818","1.975","2.051","1.807","-8.96%"
"01/01/2015","1.997","2.192","2.253","1.981","-8.52%"
"12/01/2014","2.183","2.432","2.479","2.168","-10.39%"
"11/01/2014","2.436","2.551","2.603","2.422","-3.98%"
"10/01/2014","2.537","2.664","2.680","2.476","-4.59%"
"09/01/2014","2.659","2.528","2.857","2.523","4.56%"
"08/01/2014","2.543","2.603","2.648","2.458","-2.72%"
"07/01/2014","2.614","2.540","2.634","2.406","3.28%"
"06/01/2014","2.531","2.662","2.747","2.492","-4.96%"
"05/01/2014","2.663","2.736","2.775","2.608","-3.86%"
"04/01/2014","2.770","2.839","2.937","2.709","-2.74%"
