"Date","Price","Open","High","Low","Change %"
"10/01/2023","4.7850","4.9250","5.0720","4.7070","-2.51%"
"09/01/2023","4.9080","5.1590","5.2950","4.7460","-4.61%"
"08/01/2023","5.1450","4.9660","5.3390","4.8000","3.33%"
"07/01/2023","4.9790","5.2680","5.5600","4.7280","-5.40%"
"06/01/2023","5.2630","4.3510","5.3220","4.2500","21.55%"
"05/01/2023","4.3300","3.8170","4.5820","3.6600","14.55%"
"04/01/2023","3.7800","3.4630","3.8400","3.2900","9.85%"
"03/01/2023","3.4410","3.7320","3.8710","3.0160","-6.55%"
"02/01/2023","3.6820","3.4280","4.0600","3.1290","6.63%"
"01/01/2023","3.4530","3.5320","3.7350","3.2150","-6.85%"
"12/01/2022","3.7070","3.1800","3.7990","3.1700","13.02%"
"11/01/2022","3.2800","3.2490","3.4980","2.8980","0.18%"
"10/01/2022","3.2740","4.3800","4.4990","3.0840","-23.88%"
"09/01/2022","4.3010","3.0880","4.7610","2.9200","42.99%"
"08/01/2022","3.0080","1.7260","3.0760","1.5690","75.50%"
"07/01/2022","1.7140","1.8260","2.1680","1.5870","-8.73%"
"06/01/2022","1.8780","1.5110","2.3510","1.5110","19.01%"
"05/01/2022","1.5780","1.5350","1.7070","1.1860","-1.87%"
"04/01/2022","1.6080","1.3900","1.7880","1.3420","18.32%"
"03/01/2022","1.3590","1.0230","1.5150","0.7840","29.06%"
"02/01/2022","1.0530","1.0600","1.5650","1.0250","0.86%"
"01/01/2022","1.0440","0.6870","1.0580","0.6460","53.76%"
"12/01/2021","0.6790","0.5110","0.7270","0.3940","41.75%"
"11/01/2021","0.4790","0.7310","0.7600","0.3930","-32.54%"
"10/01/2021","0.7100","0.3910","0.8430","0.3840","72.75%"
"09/01/2021","0.4110","0.2370","0.4770","0.1770","160.13%"
"08/01/2021","0.1580","0.0710","0.1760","0.0280","159.02%"
"07/01/2021","0.0610","0.0680","0.1610","0.0260","3.39%"
"06/01/2021","0.0590","0.0750","0.1600","0.0120","-10.61%"
"05/01/2021","0.0660","0.0790","0.1260","-0.0020","-21.43%"
"04/01/2021","0.0840","0.1220","0.1220","0.0190","-20.00%"
"03/01/2021","0.1050","0.0930","0.1540","-0.0010","-18.60%"
"02/01/2021","0.1290","-0.1030","0.1490","-0.1090","-227.72%"
"01/01/2021","-0.1010","-0.1530","-0.0510","-0.1830","-34.84%"
"12/01/2020","-0.1550","-0.0190","0.0200","-0.1730","761.11%"
"11/01/2020","-0.0180","-0.0320","0.0480","-0.1010","-25.00%"
"10/01/2020","-0.0240","-0.0110","0.0250","-0.0810","71.43%"
"09/01/2020","-0.0140","-0.0690","-0.0060","-0.1590","-72.00%"
"08/01/2020","-0.0500","-0.0670","0.0360","-0.0920","-30.56%"
"07/01/2020","-0.0720","-0.0580","-0.0410","-0.1300","-12.20%"
"06/01/2020","-0.0820","-0.0270","0.0470","-0.1110","90.70%"
"05/01/2020","-0.0430","0.0200","0.0610","-0.0800","-490.91%"
"04/01/2020","0.0110","0.0830","0.1780","0.0110","-91.79%"
"03/01/2020","0.1340","0.3200","0.5000","-0.0350","-57.46%"
"02/01/2020","0.3150","0.5160","0.5780","0.2620","-38.36%"
"01/01/2020","0.5110","0.5990","0.6440","0.3810","-4.66%"
"12/01/2019","0.5360","0.5770","0.6490","0.4840","-3.07%"
"11/01/2019","0.5530","0.5180","0.6040","0.4710","8.43%"
"10/01/2019","0.5100","0.3860","0.6340","0.3100","38.59%"
"09/01/2019","0.3680","0.3880","0.5860","0.2650","-8.46%"
"08/01/2019","0.4020","0.4560","0.5580","0.3310","-6.07%"
"07/01/2019","0.4280","0.6400","0.6460","0.4280","-30.52%"
"06/01/2019","0.6160","0.5940","0.6390","0.5230","2.16%"
"05/01/2019","0.6030","0.7610","0.8050","0.5820","-20.87%"
"04/01/2019","0.7620","0.6640","0.8280","0.6210","20.38%"
"03/01/2019","0.6330","0.8320","0.8360","0.6210","-23.73%"
"02/01/2019","0.8300","0.7610","0.8590","0.6920","9.93%"
"01/01/2019","0.7550","0.7470","0.8540","0.6830","0.67%"
"12/01/2018","0.7500","0.7850","0.8020","0.6540","-2.34%"
"11/01/2018","0.7680","0.7730","0.8430","0.6760","3.09%"
"10/01/2018","0.7450","0.8260","0.9420","0.7010","-9.26%"
"09/01/2018","0.8210","0.7370","0.8660","0.7120","12.93%"
"08/01/2018","0.7270","0.7900","0.8300","0.6750","-4.84%"
"07/01/2018","0.7640","0.7140","0.7980","0.6890","5.82%"
"06/01/2018","0.7220","0.6430","0.7810","0.6250","18.36%"
"05/01/2018","0.6100","0.7810","0.8680","0.5580","-21.29%"
"04/01/2018","0.7750","0.8110","0.9440","0.7620","-5.49%"
"03/01/2018","0.8200","0.7840","0.9580","0.7360","5.40%"
"02/01/2018","0.7780","0.6810","0.8440","0.5800","17.17%"
"01/01/2018","0.6640","0.4670","0.6660","0.4540","48.88%"
"12/01/2017","0.4460","0.5180","0.5660","0.4060","-13.73%"
"11/01/2017","0.5170","0.4700","0.5490","0.3900","12.64%"
"10/01/2017","0.4590","0.4750","0.5090","0.4020","2.00%"
"09/01/2017","0.4500","0.1750","0.4930","0.1400","155.68%"
"08/01/2017","0.1760","0.2780","0.3050","0.1430","-35.06%"
"07/01/2017","0.2710","0.3680","0.3760","0.2320","-24.30%"
"06/01/2017","0.3580","0.1260","0.3970","0.0700","181.89%"
"05/01/2017","0.1270","0.0830","0.1760","0.0620","67.11%"
"04/01/2017","0.0760","0.1220","0.1560","0.0690","-40.16%"
"03/01/2017","0.1270","0.1270","0.1930","0.0340","29.59%"
"02/01/2017","0.0980","0.1580","0.1670","0.0600","-25.19%"
"01/01/2017","0.1310","0.0670","0.2270","0.0380","65.82%"
"12/01/2016","0.0790","0.1420","0.1940","0.0380","-40.15%"
"11/01/2016","0.1320","0.2930","0.2970","0.0750","-50.56%"
"10/01/2016","0.2670","0.1120","0.3430","0.0840","142.73%"
"09/01/2016","0.1100","0.1640","0.2120","0.0510","-28.57%"
"08/01/2016","0.1540","0.1190","0.2300","0.0840","37.50%"
"07/01/2016","0.1120","0.1030","0.2150","0.0630","1.82%"
"06/01/2016","0.1100","0.4310","0.5550","0.1020","-74.42%"
"05/01/2016","0.4300","0.5300","0.5360","0.3500","-17.31%"
"04/01/2016","0.5200","0.4480","0.5770","0.3520","15.30%"
"03/01/2016","0.4510","0.3930","0.5900","0.3720","19.00%"
"02/01/2016","0.3790","0.3390","0.4360","0.2770","11.47%"
"01/01/2016","0.3400","0.6100","0.6380","0.3250","-48.17%"
"12/01/2015","0.6560","0.6320","0.7090","0.4420","7.36%"
