Date,ZAR,TRY,IDR,CZK,PLN,HUF
2024-01-03,18.55558967590332,29.74485969543457,15498.0,22.518299102783203,3.9897561073303223,348.6300048828125
2024-01-04,18.674299240112305,29.77907943725586,15555.0,22.55069923400879,3.9804000854492188,347.91900634765625
2024-01-05,18.686899185180664,29.840900421142578,15511.0,22.516199111938477,3.9674839973449707,345.8800048828125
2024-01-08,18.670289993286133,29.78428077697754,15477.5,22.417999267578125,3.9693920612335205,345.0249938964844
2024-01-09,18.564199447631836,29.91390037536621,15495.5,22.37619972229004,3.9553799629211426,344.7699890136719
2024-01-10,18.63878059387207,29.96179962158203,15534.5,22.46820068359375,3.9735500812530518,346.33599853515625
2024-01-11,18.631759643554688,29.85420036315918,15555.0,22.367000579833984,3.947551965713501,344.51800537109375
2024-01-12,18.645099639892578,30.06089973449707,15556.5,22.454700469970703,3.9616000652313232,344.9909973144531
2024-01-15,18.60658073425293,30.06355094909668,15503.2001953125,22.510299682617188,3.9766900539398193,346.2539978027344
2024-01-16,18.649099349975586,30.07284927368164,15546.0,22.538999557495117,3.9921329021453857,346.010009765625
2024-01-17,18.959089279174805,30.118099212646484,15625.0,22.702699661254883,4.035556793212891,348.6400146484375
2024-01-18,19.079200744628906,30.137819290161133,15624.0,22.709999084472656,4.036470890045166,349.2099914550781
2024-01-19,18.921100616455078,30.153600692749023,15613.099609375,22.763700485229492,4.028688907623291,351.42999267578125
2024-01-22,19.008899688720703,30.191360473632812,15601.0,22.74340057373047,3.9946019649505615,350.5320129394531
2024-01-23,19.193300247192383,30.2587890625,15655.5,22.76140022277832,4.008474826812744,352.44000244140625
2024-01-24,18.91320037841797,30.279499053955078,15715.0,22.898500442504883,4.0402398109436035,355.55499267578125
2024-01-25,18.877979278564453,30.24799919128418,15714.5,22.78700065612793,4.023829936981201,355.70001220703125
2024-01-26,18.880399703979492,30.297300338745117,15808.0,22.799999237060547,4.029300212860107,355.0199890136719
2024-01-29,18.757030487060547,30.324670791625977,15767.599609375,22.811399459838867,4.020100116729736,357.7950134277344
2024-01-30,18.778499603271484,30.34501075744629,15828.0,22.895099639892578,4.029359817504883,358.9679870605469
2024-01-31,18.779300689697266,30.358400344848633,15785.0,22.831600189208984,4.009779930114746,356.1700134277344
2024-02-01,18.6135196685791,30.359800338745117,15769.0,22.948999404907227,4.004332065582275,354.9649963378906
2024-02-02,18.56529998779297,30.44300079345703,15726.0,22.82900047302246,3.96749210357666,351.9100036621094
2024-02-05,18.882320404052734,30.300920486450195,15727.2001953125,23.128000259399414,3.994999885559082,355.635009765625
2024-02-06,19.048900604248047,30.536800384521484,15711.5,23.187599182128906,4.039244174957275,359.7099914550781
2024-02-07,18.81760025024414,30.541120529174805,15733.0,23.146299362182617,4.039230823516846,359.0899963378906
2024-02-08,18.898700714111328,30.59149932861328,15647.0,23.1382999420166,4.028842926025391,360.2099914550781
2024-02-09,18.966400146484375,30.668399810791016,15660.2998046875,23.402999877929688,4.010900020599365,360.4800109863281
2024-02-12,18.976049423217773,30.64838981628418,15598.0,23.357200622558594,4.002788066864014,358.2770080566406
2024-02-13,18.89859962463379,30.712900161743164,15579.5,23.405000686645508,3.99912691116333,358.9700012207031
2024-02-14,19.07659912109375,30.722900390625,15661.5,23.63759994506836,4.049604892730713,361.3999938964844
2024-02-15,19.028560638427734,30.750099182128906,15553.099609375,23.639999389648438,4.042724132537842,362.0360107421875
2024-02-16,18.939529418945312,30.815000534057617,15672.0,23.509000778198242,4.028663158416748,361.0199890136719
2024-02-19,18.825109481811523,30.80282974243164,15628.599609375,23.574800491333008,4.021039009094238,359.9949951171875
2024-02-20,18.93931007385254,30.867900848388672,15634.0,23.61870002746582,4.01364278793335,360.42498779296875
2024-02-21,18.9064998626709,30.904909133911133,15661.0,23.455799102783203,3.9898500442504883,358.2760009765625
2024-02-22,18.896129608154297,31.01650047302246,15642.0,23.377199172973633,3.9882619380950928,357.6449890136719
2024-02-23,19.14780044555664,31.07349967956543,15588.0,23.406400680541992,3.9941999912261963,357.50201416015625
2024-02-26,19.30579948425293,31.093120574951172,15586.099609375,23.413999557495117,3.9814999103546143,359.114013671875
2024-02-27,19.212600708007812,31.115520477294922,15638.5,23.361900329589844,3.970766067504883,358.69000244140625
2024-02-28,19.069400787353516,31.14579963684082,15653.0,23.340999603271484,3.970115900039673,360.4200134277344
2024-02-29,19.25309944152832,31.208839416503906,15712.2001953125,23.314300537109375,3.9819068908691406,362.8399963378906
2024-03-01,19.180419921875,31.279409408569336,15704.0,23.423599243164062,3.9904000759124756,363.1659851074219
2024-03-04,19.07699966430664,31.390369415283203,15691.900390625,23.357999801635742,3.9802069664001465,363.0899963378906
2024-03-05,19.03030014038086,31.571300506591797,15766.0,23.352100372314453,3.979099988937378,363.95098876953125
2024-03-06,18.94070053100586,31.688119888305664,15751.5,23.323699951171875,3.9703099727630615,362.5169982910156
2024-03-07,18.775400161743164,31.79730987548828,15668.0,23.247600555419922,3.9416539669036865,361.260009765625
2024-03-08,18.66390037536621,31.93320083618164,15621.0,23.14389991760254,3.9251999855041504,360.8349914550781
2024-03-11,18.79785919189453,31.996360778808594,15536.2998046875,23.119400024414062,3.931178092956543,359.5220031738281
2024-03-12,18.652700424194336,32.03739929199219,15518.0,23.1471004486084,3.914947986602783,360.6300048828125
2024-03-13,18.65049934387207,32.093780517578125,15546.0,23.130699157714844,3.923180103302002,364.8999938964844
2024-03-14,18.553699493408203,32.1185302734375,15574.0,23.035499572753906,3.906179904937744,361.3810119628906
2024-03-15,18.730600357055664,32.19306945800781,15630.0,23.133399963378906,3.9426910877227783,362.93499755859375
2024-03-18,18.749780654907227,32.28765106201172,15639.2998046875,23.08799934387207,3.948199987411499,360.6969909667969
2024-03-19,18.943300247192383,32.33330154418945,15743.0,23.18000030517578,3.9731359481811523,363.0
2024-03-20,18.908790588378906,32.373348236083984,15718.0,23.246000289916992,3.9690001010894775,363.0509948730469
2024-03-21,18.672300338745117,32.41749954223633,15687.0,23.028799057006836,3.940138101577759,359.927001953125
2024-03-22,18.81909942626953,32.15650177001953,15723.5,23.27199935913086,3.960599899291992,362.79998779296875
2024-03-25,18.985200881958008,32.08531188964844,15802.599609375,23.445999145507812,3.9964840412139893,367.2929992675781
2024-03-26,18.885700225830078,32.16780090332031,15784.0,23.312000274658203,3.9698829650878906,366.1199951171875
2024-03-27,18.960399627685547,32.208499908447266,15828.0,23.337600708007812,3.9759790897369385,364.7030029296875
2024-03-28,18.924489974975586,32.29970169067383,15877.0,23.39310073852539,3.986799955368042,365.0199890136719
2024-03-29,18.896699905395508,32.449100494384766,15877.0,23.40060043334961,3.9874000549316406,365.05999755859375
2024-04-01,18.84830093383789,32.42340087890625,15848.0,23.384300231933594,3.9826269149780273,365.4949951171875
2024-04-02,18.944650650024414,32.26240158081055,15945.7998046875,23.54400062561035,3.9961259365081787,367.531005859375
2024-04-03,18.75790023803711,32.052101135253906,15955.0,23.482799530029297,3.984221935272217,366.3999938964844
2024-04-04,18.65250015258789,31.94529914855957,15936.0,23.337400436401367,3.9603068828582764,362.0199890136719
2024-04-05,18.676809310913086,31.944990158081055,15904.5,23.340700149536133,3.9580769538879395,361.7799987792969
2024-04-08,18.712160110473633,32.007598876953125,15881.0,23.343000411987305,3.952929973602295,359.6449890136719
2024-04-09,18.63089942932129,32.15650177001953,15918.0,23.30970001220703,3.920814037322998,358.739990234375
2024-04-10,18.42840003967285,32.22426986694336,15892.2998046875,23.381999969482422,3.9284300804138184,359.302001953125
2024-04-11,18.77739906311035,32.2859992980957,15998.2001953125,23.660400390625,3.9679720401763916,364.1180114746094
2024-04-12,18.709800720214844,32.4182014465332,16007.0,23.626399993896484,3.9728519916534424,363.18701171875
2024-04-15,18.857799530029297,32.39690017700195,16111.0,23.780799865722656,4.019890785217285,368.5400085449219
2024-04-16,18.97052001953125,32.40700912475586,16075.0,23.785900115966797,4.047603130340576,370.77099609375
2024-04-17,19.005800247192383,32.51139831542969,16312.2001953125,23.685100555419922,4.110723972320557,371.94000244140625
2024-04-18,18.980899810791016,32.47119903564453,16246.0,23.65130043029785,4.0650482177734375,368.17999267578125
2024-04-19,19.137449264526367,32.56330108642578,16220.0,23.738000869750977,4.074551105499268,370.2749938964844
2024-04-22,19.121599197387695,32.60334014892578,16210.2998046875,23.68709945678711,4.038844108581543,369.9599914550781
2024-04-23,19.18004035949707,32.56460189819336,16246.0,23.69969940185547,4.048099994659424,369.739990234375
2024-04-24,19.093299865722656,32.510520935058594,16140.2001953125,23.545299530029297,4.022799968719482,367.0799865722656
2024-04-25,19.21780014038086,32.56671905517578,16220.0,23.575899124145508,4.047872066497803,367.9700012207031
2024-04-26,19.01930046081543,32.535301208496094,16202.0,23.42300033569336,4.019400119781494,366.2200012207031
2024-04-29,18.797500610351562,32.53120040893555,16203.0,23.497800827026367,4.033904075622559,366.406005859375
2024-04-30,18.63031005859375,32.36991882324219,16246.0,23.45199966430664,4.025187969207764,365.0669860839844
2024-05-01,18.778099060058594,32.40330123901367,16273.0,23.555999755859375,4.059589862823486,366.25
2024-05-02,18.543699264526367,32.27299880981445,16190.400390625,23.412399291992188,4.033400058746338,364.04901123046875
2024-05-03,18.54047966003418,32.40330123901367,16097.0,23.227699279785156,4.033458232879639,362.68499755859375
2024-05-06,18.533300399780273,32.302398681640625,16077.0,23.26259994506836,4.013181209564209,361.739990234375
2024-05-07,18.472700119018555,32.28260040283203,16034.0,23.20210075378418,3.9979898929595947,360.7099914550781
2024-05-08,18.49570083618164,32.25619888305664,16073.0,23.264400482177734,4.010129928588867,361.7439880371094
2024-05-09,18.56555938720703,32.3484992980957,16074.0,23.246700286865234,4.00056791305542,361.3999938964844
2024-05-10,18.451549530029297,32.28310012817383,16030.0,23.095800399780273,3.971451997756958,359.6440124511719
2024-05-13,18.41230010986328,32.18122863769531,16038.0,23.128000259399414,3.9922940731048584,360.0169982910156
2024-05-14,18.341760635375977,32.25170135498047,16121.0,22.96299934387207,3.9686319828033447,358.3500061035156
2024-05-15,18.379100799560547,32.28120040893555,16102.0,22.916099548339844,3.9450271129608154,356.5880126953125
2024-05-16,18.249399185180664,32.160499572753906,15914.0,22.68910026550293,3.913029909133911,354.05999755859375
2024-05-17,18.16309928894043,32.262901306152344,15930.7998046875,22.707799911499023,3.9182889461517334,355.8699951171875
2024-05-20,18.152099609375,32.232601165771484,15958.0,22.68560028076172,3.914900064468384,355.7070007324219
2024-05-21,18.150100708007812,32.212100982666016,16031.0,22.750499725341797,3.912580966949463,355.27398681640625
2024-05-22,18.050399780273438,32.19089889526367,16005.0,22.768999099731445,3.915853977203369,354.9389953613281
2024-05-23,18.276899337768555,32.15095138549805,16040.7001953125,22.808000564575195,3.93782901763916,357.3269958496094
2024-05-24,18.46339988708496,32.22200012207031,16095.0,22.84630012512207,3.940700054168701,357.1199951171875
2024-05-27,18.414939880371094,32.220001220703125,16038.0,22.68470001220703,3.9211299419403076,354.3599853515625
2024-05-28,18.301300048828125,32.108001708984375,16071.0,22.711999893188477,3.9214088916778564,353.88800048828125
