Estados Unidos,Europa,Reino Unido,Japao,China,Suica,Australia,Canada,Coreia do Sul,Noruega,Suecia,Mexico,India,Brasil
1.3,-0.327894736842105,0.51871,0.063,5.55,-0.864305555555556,1.77,0.96,1.66,0.83,-0.75,7.56,6.25,7.1
1.41,-0.328454545454546,0.5225,0.068,4.85,-0.87154745,1.79,1.164,1.66,0.84,-0.69,7.7,6.25,7.0
1.42,-0.3285,0.54683,0.068,4.49,-0.8715625,1.77,1.1625,1.65,0.93,-0.66,7.84,6.25,6.81
1.51,-0.327904761904762,0.62842,0.097,4.8,-0.79524075,1.93,1.095,1.65,1.07,-0.66,7.86,6.25,6.67
1.69,-0.32845,0.75629,0.097,4.37,-0.80023515,2.06,1.165,1.65,1.14,-0.66,7.86,6.45,6.5
1.7,-0.325227272727273,0.64355,0.078,4.54,-0.7861775,1.96,1.246,1.65,1.07,-0.7,7.89,6.45,6.5
1.82,-0.322047619047619,0.63868,0.078,4.63,-0.790477142857143,2.07,1.2375,1.65,1.01,-0.69,8.02,6.45,6.5
1.91,-0.320727272727273,0.74619,0.091,3.93,-0.780435909090909,2.02,1.375,1.65,1.04,-0.67,8.15,6.75,6.5
1.91,-0.319,0.80519,0.091,3.23,-0.777280909090909,1.96,1.488,1.65,1.04,-0.68,8.14,6.75,6.5
1.95,-0.31885,0.80093,0.05,3.12,-0.780283888888889,1.93,1.5175,1.65,1.09,-0.73,8.17,6.75,6.5
2.19,-0.317695652173913,0.80618,0.05,3.22,-0.831076428571429,1.93,1.66,1.68,1.09,-0.7,8.17,6.75,6.5
2.2,-0.316363636363636,0.87483,0.05,3.37,-0.815,1.94,1.7125,1.71,1.2,-0.73,8.37,6.75,6.5
2.27,-0.311894736842105,0.90444,0.05,3.87,-0.776,2.02,1.66,1.91,1.28,-0.66,8.5,6.75,6.5
2.4,-0.308,0.91822,0.03,3.24,-0.813503555555556,2.07,1.634,1.87,1.26,-0.44,8.62,6.5,6.5
2.4,-0.30845,0.87598,0.03,2.91,-0.768617571428571,1.96,1.665,1.87,1.27,-0.4,8.57,6.5,6.5
2.41,-0.309190476190476,0.84,0.05,3.08,-0.756575222222222,1.83,1.66,1.9,1.34,-0.4,8.52,6.5,6.5
